snapshot_date,checkin,checkout,ttt,los,rank_in_search,name,price_usd,review_score,review_count,stars,location,room_type,cancellation,special_offers,property_type,card_text
2026-02-03,2026-02-04,2026-02-05,1,1,1,Arlo Williamsburg,$222,8.6,"1,013",4,Williamsburg,"Arlo Williamsburg
Property class 4 out of 5
Williamsburg
Pool
No winter blues with our Brooklyn views
Sweeping views of NYC. Loft-style rooms. Onsite restaurant & bar. Check out our events & happenings. This is how to do Brooklyn.
Fully refundable
Reserve now, pay later
8.6
8.6 out of 10
Excellent
excellent
1,013 reviews
(1,013 reviews)
The previous price was €201
€201
The current price is €185
€185
for 1 room
includes taxes & fees
Sign in for extra savings",Fully refundable,No winter blues with our Brooklyn views,Sponsored,"Photo gallery for Arlo Williamsburg
Shower, rainfall showerhead, free toiletries, hair dryer. Arlo Williamsburg
Ad
Arlo Williamsburg
Property class 4 out of 5
Williamsburg
Pool
No winter blues with our Brooklyn views
Sweeping views of NYC. Loft-style rooms. Onsite restaurant & bar. Check out our events & happenings. This is how to do Brooklyn.
Fully refundable
Reserve now, pay later
8.6
8.6 out of 10
Excellent
excellent
1,013 reviews
(1,013 reviews)
The previous price was €201
€201
The current price is €185
€185
for 1 room
includes taxes & fees
Sign in for extra savings
Opens Arlo Williamsburg in new tab"
2026-02-03,2026-02-04,2026-02-05,1,1,2,Hotel Indigo Williamsburg - Brooklyn by IHG,$219,8.2,"1,006",5,Williamsburg,"Hotel Indigo Williamsburg - Brooklyn by IHG
Property class 3.5 out of 5
Williamsburg
Pool
Skyline views of Manhattan and Brooklyn
Top-notch dining options, comfortable night's rest in the city. Pet friendly hotel in Brooklyn, New York.
Fully refundable
Reserve now, pay later
8.2
8.2 out of 10
Very good
very good
1,006 reviews
(1,006 reviews)
12% off
The previous price was €199
€199
The current price is €176
€176
for 1 room
includes taxes & fees",Fully refundable,Skyline views of Manhattan and Brooklyn,Sponsored,"Photo gallery for Hotel Indigo Williamsburg - Brooklyn by IHG
Garden. Hotel Indigo Williamsburg - Brooklyn by IHG
Ad
Hotel Indigo Williamsburg - Brooklyn by IHG
Property class 3.5 out of 5
Williamsburg
Pool
Skyline views of Manhattan and Brooklyn
Top-notch dining options, comfortable night's rest in the city. Pet friendly hotel in Brooklyn, New York.
Fully refundable
Reserve now, pay later
8.2
8.2 out of 10
Very good
very good
1,006 reviews
(1,006 reviews)
12% off
The previous price was €199
€199
The current price is €176
€176
for 1 room
includes taxes & fees
Opens Hotel Indigo Williamsburg - Brooklyn by IHG in new tab"
2026-02-03,2026-02-04,2026-02-05,1,1,3,Hyatt Regency JFK Airport at Resorts World New York,$295,8.8,"1,279",4,Queens,"Hyatt Regency JFK Airport at Resorts World New York
Property class 4 out of 5
Queens
Stay & Play at Hyatt Regency JFK Airport
Stay near JFK Airport and NYC’s only casino - Resorts World NYC. Modern & spacious rooms and various dining outlets available.
8.8
8.8 out of 10
Excellent
excellent
1,279 reviews
(1,279 reviews)
18% off
The previous price was €268
€268
The current price is €220
€220
for 1 room
includes taxes & fees",,Stay & Play at Hyatt Regency JFK Airport,Sponsored,"Photo gallery for Hyatt Regency JFK Airport at Resorts World New York
2 bars/lounges. Hyatt Regency JFK Airport at Resorts World New York
Ad
Hyatt Regency JFK Airport at Resorts World New York
Property class 4 out of 5
Queens
Stay & Play at Hyatt Regency JFK Airport
Stay near JFK Airport and NYC’s only casino - Resorts World NYC. Modern & spacious rooms and various dining outlets available.
8.8
8.8 out of 10
Excellent
excellent
1,279 reviews
(1,279 reviews)
18% off
The previous price was €268
€268
The current price is €220
€220
for 1 room
includes taxes & fees
Opens Hyatt Regency JFK Airport at Resorts World New York in new tab"
2026-02-03,2026-02-04,2026-02-05,1,1,4,"PUBLIC, an Ian Schrager hotel",$388,8.6,"3,300",4,New York,"PUBLIC, an Ian Schrager hotel
Property class 4 out of 5
New York
Fully refundable
Reserve now, pay later
8.6
8.6 out of 10
Excellent
excellent
3,300 reviews
(3,300 reviews)
The current price is €352
€352
for 1 room
includes taxes & fees
Sign in for extra savings",Fully refundable,,,"PUBLIC, an Ian Schrager hotel
Property class 4 out of 5
New York
Fully refundable
Reserve now, pay later
8.6
8.6 out of 10
Excellent
excellent
3,300 reviews
(3,300 reviews)
The current price is €352
€352
for 1 room
includes taxes & fees
Sign in for extra savings
More information about PUBLIC, an Ian Schrager hotel, opens in a new tab"
2026-02-03,2026-02-04,2026-02-05,1,1,5,Holiday Inn New York City - Times Square by IHG,$138,8.4,"2,431",5,New York,"Holiday Inn New York City - Times Square by IHG
Property class 3.5 out of 5
New York
Fully refundable
Reserve now, pay later
8.4
8.4 out of 10
Very good
very good
2,431 reviews
(2,431 reviews)
19% off
The previous price was €125
€125
The current price is €101
€101
for 1 room
includes taxes & fees",Fully refundable,,,"Holiday Inn New York City - Times Square by IHG
Property class 3.5 out of 5
New York
Fully refundable
Reserve now, pay later
8.4
8.4 out of 10
Very good
very good
2,431 reviews
(2,431 reviews)
19% off
The previous price was €125
€125
The current price is €101
€101
for 1 room
includes taxes & fees
More information about Holiday Inn New York City - Times Square by IHG, opens in a new tab"
2026-02-03,2026-02-04,2026-02-05,1,1,6,Little Charlie Hotel,$156,9.4,"1,356",2,New York,"Private host
Little Charlie Hotel
Property class 2 out of 5
New York
Breakfast included
9.4
9.4 out of 10
Exceptional
exceptional
1,356 reviews
(1,356 reviews)
10% off
The previous price was €141
€141
The current price is €127
€127
for 1 room
includes taxes & fees",,,,"Private host
Little Charlie Hotel
Property class 2 out of 5
New York
Breakfast included
9.4
9.4 out of 10
Exceptional
exceptional
1,356 reviews
(1,356 reviews)
10% off
The previous price was €141
€141
The current price is €127
€127
for 1 room
includes taxes & fees
More information about Little Charlie Hotel, opens in a new tab"
2026-02-03,2026-02-04,2026-02-05,1,1,7,"Times Square West Hotel, BW Signature Collection",$87,7.8,"1,796",5,New York,"Times Square West Hotel, BW Signature Collection
Property class 2.5 out of 5
New York
Breakfast included
Fully refundable
Reserve now, pay later
7.8
7.8 out of 10
Good
good
1,796 reviews
(1,796 reviews)
The current price is €79
€79
for 1 room
includes taxes & fees",Fully refundable,,,"Times Square West Hotel, BW Signature Collection
Property class 2.5 out of 5
New York
Breakfast included
Fully refundable
Reserve now, pay later
7.8
7.8 out of 10
Good
good
1,796 reviews
(1,796 reviews)
The current price is €79
€79
for 1 room
includes taxes & fees
More information about Times Square West Hotel, BW Signature Collection, opens in a new tab"
2026-02-03,2026-02-04,2026-02-05,1,1,8,Doubletree by Hilton New York Times Square South,$184,8.8,"4,667",5,New York,"Doubletree by Hilton New York Times Square South
Property class 3.5 out of 5
New York
Fully refundable
Reserve now, pay later
8.8
8.8 out of 10
Excellent
excellent
4,667 reviews
(4,667 reviews)
The previous price was €167
€167
The current price is €142
€142
for 1 room
includes taxes & fees
Sign in for extra savings",Fully refundable,,,"Doubletree by Hilton New York Times Square South
Property class 3.5 out of 5
New York
Fully refundable
Reserve now, pay later
8.8
8.8 out of 10
Excellent
excellent
4,667 reviews
(4,667 reviews)
The previous price was €167
€167
The current price is €142
€142
for 1 room
includes taxes & fees
Sign in for extra savings
More information about Doubletree by Hilton New York Times Square South, opens in a new tab"
2026-02-03,2026-02-04,2026-02-05,1,1,9,Holiday Inn Express & Suites Jersey City - Holland Tunnel by IHG,$140,8.6,"1,003",5,Jersey City,"Holiday Inn Express & Suites Jersey City - Holland Tunnel by IHG
Property class 2.5 out of 5
Jersey City
Breakfast included
Simple, Smart Travel
Holiday Inn Express offers a clean, consistent, and comfortable stay wherever you travel. Free, hot, fresh breakfast every day.
Fully refundable
Reserve now, pay later
8.6
8.6 out of 10
Excellent
excellent
1,003 reviews
(1,003 reviews)
The current price is €127
€127
for 1 room
includes taxes & fees",Fully refundable,"Simple, Smart Travel",,"Holiday Inn Express & Suites Jersey City - Holland Tunnel by IHG
Property class 2.5 out of 5
Jersey City
Breakfast included
Simple, Smart Travel
Holiday Inn Express offers a clean, consistent, and comfortable stay wherever you travel. Free, hot, fresh breakfast every day.
Fully refundable
Reserve now, pay later
8.6
8.6 out of 10
Excellent
excellent
1,003 reviews
(1,003 reviews)
The current price is €127
€127
for 1 room
includes taxes & fees
Opens Holiday Inn Express & Suites Jersey City - Holland Tunnel by IHG in new tab"
2026-02-03,2026-02-04,2026-02-05,1,1,10,Hilton Garden Inn New York Times Square South,$159,9.0,"4,851",3,New York,"Hilton Garden Inn New York Times Square South
Property class 3 out of 5
New York
9.0
9.0 out of 10
Wonderful
wonderful
4,851 reviews
(4,851 reviews)
The current price is €144
€144
for 1 room
includes taxes & fees
Sign in for extra savings",,,,"Hilton Garden Inn New York Times Square South
Property class 3 out of 5
New York
9.0
9.0 out of 10
Wonderful
wonderful
4,851 reviews
(4,851 reviews)
The current price is €144
€144
for 1 room
includes taxes & fees
Sign in for extra savings
More information about Hilton Garden Inn New York Times Square South, opens in a new tab"
