snapshot_date,checkin,checkout,ttt,los,rank_in_search,name,price_usd,review_score,review_count,stars,location,room_type,cancellation,special_offers,property_type,card_text
2026-02-03,2026-02-04,2026-02-05,1,1,11,Best Western Premier Empire State Hotel,$126,9.0,"1,023",3,New York,"Best Western Premier Empire State Hotel
Property class 3 out of 5
New York
Fully refundable
Reserve now, pay later
9.0
9.0 out of 10
Wonderful
wonderful
1,023 reviews
(1,023 reviews)
The current price is €114
€114
for 1 room
includes taxes & fees",Fully refundable,,,"Best Western Premier Empire State Hotel
Property class 3 out of 5
New York
Fully refundable
Reserve now, pay later
9.0
9.0 out of 10
Wonderful
wonderful
1,023 reviews
(1,023 reviews)
The current price is €114
€114
for 1 room
includes taxes & fees
More information about Best Western Premier Empire State Hotel, opens in a new tab"
2026-02-03,2026-02-04,2026-02-05,1,1,12,NEW YORKER BY LOTTE HOTELS,$158,8.2,"6,371",4,New York,"NEW YORKER BY LOTTE HOTELS
Property class 4 out of 5
New York
Fully refundable
Reserve now, pay later
8.2
8.2 out of 10
Very good
very good
6,371 reviews
(6,371 reviews)
18% off
The previous price was €143
€143
The current price is €118
€118
for 1 room
includes taxes & fees",Fully refundable,,,"NEW YORKER BY LOTTE HOTELS
Property class 4 out of 5
New York
Fully refundable
Reserve now, pay later
8.2
8.2 out of 10
Very good
very good
6,371 reviews
(6,371 reviews)
18% off
The previous price was €143
€143
The current price is €118
€118
for 1 room
includes taxes & fees
More information about NEW YORKER BY LOTTE HOTELS, opens in a new tab"
2026-02-03,2026-02-04,2026-02-05,1,1,13,Holiday Inn NYC - Lower East Side by IHG,$141,8.6,"1,006",4,New York,"Holiday Inn NYC - Lower East Side by IHG
Property class 4 out of 5
New York
Great Moments Await
Holiday Inn hotels make it easy to celebrate any moment together, big or small, with a comfortable and affordable stay.
Fully refundable
Reserve now, pay later
8.6
8.6 out of 10
Excellent
excellent
1,006 reviews
(1,006 reviews)
15% off
The previous price was €128
€128
The current price is €109
€109
for 1 room
includes taxes & fees",Fully refundable,Great Moments Await,,"Holiday Inn NYC - Lower East Side by IHG
Property class 4 out of 5
New York
Great Moments Await
Holiday Inn hotels make it easy to celebrate any moment together, big or small, with a comfortable and affordable stay.
Fully refundable
Reserve now, pay later
8.6
8.6 out of 10
Excellent
excellent
1,006 reviews
(1,006 reviews)
15% off
The previous price was €128
€128
The current price is €109
€109
for 1 room
includes taxes & fees
Opens Holiday Inn NYC - Lower East Side by IHG in new tab"
2026-02-03,2026-02-04,2026-02-05,1,1,14,Radio City Apartments,$148,9.0,"5,023",5,Theater District,"Radio City Apartments
Property class 3.5 out of 5
Theater District
Fully refundable
9.0
9.0 out of 10
Wonderful
wonderful
5,023 reviews
(5,023 reviews)
10% off
The previous price was €134
€134
The current price is €121
€121
for 1 room
includes taxes & fees",Fully refundable,,,"Radio City Apartments
Property class 3.5 out of 5
Theater District
Fully refundable
9.0
9.0 out of 10
Wonderful
wonderful
5,023 reviews
(5,023 reviews)
10% off
The previous price was €134
€134
The current price is €121
€121
for 1 room
includes taxes & fees
More information about Radio City Apartments, opens in a new tab"
2026-02-03,2026-02-04,2026-02-05,1,1,15,Hyatt Place New York City/Times Square,$149,8.4,"3,530",4,New York,"Hyatt Place New York City/Times Square
Property class 4 out of 5
New York
Breakfast included
Fully refundable
Reserve now, pay later
8.4
8.4 out of 10
Very good
very good
3,530 reviews
(3,530 reviews)
The current price is €135
€135
for 1 room
includes taxes & fees",Fully refundable,,,"Hyatt Place New York City/Times Square
Property class 4 out of 5
New York
Breakfast included
Fully refundable
Reserve now, pay later
8.4
8.4 out of 10
Very good
very good
3,530 reviews
(3,530 reviews)
The current price is €135
€135
for 1 room
includes taxes & fees
More information about Hyatt Place New York City/Times Square, opens in a new tab"
2026-02-03,2026-02-04,2026-02-05,1,1,16,Hotel Riu Plaza New York Times Square,$278,9.0,"2,858",4,New York,"Hotel Riu Plaza New York Times Square
Property class 4 out of 5
New York
Breakfast included
9.0
9.0 out of 10
Wonderful
wonderful
2,858 reviews
(2,858 reviews)
34% off
The previous price was €252
€252
The current price is €167
€167
for 1 room
includes taxes & fees",,,,"Hotel Riu Plaza New York Times Square
Property class 4 out of 5
New York
Breakfast included
9.0
9.0 out of 10
Wonderful
wonderful
2,858 reviews
(2,858 reviews)
34% off
The previous price was €252
€252
The current price is €167
€167
for 1 room
includes taxes & fees
More information about Hotel Riu Plaza New York Times Square, opens in a new tab"
2026-02-03,2026-02-04,2026-02-05,1,1,17,Hotel St. James,$204,8.8,"6,902",5,Theater District,"Hotel St. James
Property class 2.5 out of 5
Theater District
8.8
8.8 out of 10
Excellent
excellent
6,902 reviews
(6,902 reviews)
25% off
The previous price was €185
€185
The current price is €140
€140
for 1 room
includes taxes & fees",,,,"Hotel St. James
Property class 2.5 out of 5
Theater District
8.8
8.8 out of 10
Excellent
excellent
6,902 reviews
(6,902 reviews)
25% off
The previous price was €185
€185
The current price is €140
€140
for 1 room
includes taxes & fees
More information about Hotel St. James, opens in a new tab"
2026-02-03,2026-02-04,2026-02-05,1,1,18,"The William Hotel Midtown, New York",$235,9.4,19,2,New York,"The William Hotel Midtown, New York
Property class 2 out of 5
New York
9.4
9.4 out of 10
Exceptional
exceptional
19 reviews
(19 reviews)
20% off
The previous price was €213
€213
The current price is €171
€171
for 1 room
includes taxes & fees",,,,"The William Hotel Midtown, New York
Property class 2 out of 5
New York
9.4
9.4 out of 10
Exceptional
exceptional
19 reviews
(19 reviews)
20% off
The previous price was €213
€213
The current price is €171
€171
for 1 room
includes taxes & fees
More information about The William Hotel Midtown, New York, opens in a new tab"
2026-02-03,2026-02-04,2026-02-05,1,1,19,Hotel Riu Plaza Manhattan Times Square,$355,9.2,"3,420",4,Theater District,,,,,"Hotel Riu Plaza Manhattan Times Square
Property class 4 out of 5
Theater District
9.2
9.2 out of 10
Wonderful
wonderful
3,420 reviews
(3,420 reviews)
35% off
The previous price was €322
€322
The current price is €211
€211
for 1 unit
includes taxes & fees
More information about Hotel Riu Plaza Manhattan Times Square, opens in a new tab"
2026-02-03,2026-02-04,2026-02-05,1,1,20,Truss Hotel Times Square,$162,8.2,"3,071",4,New York,"Truss Hotel Times Square
Property class 4 out of 5
New York
Fully refundable
Reserve now, pay later
8.2
8.2 out of 10
Very good
very good
3,071 reviews
(3,071 reviews)
The previous price was €147
€147
The current price is €126
€126
for 1 room
includes taxes & fees
Sign in for extra savings",Fully refundable,,,"Truss Hotel Times Square
Property class 4 out of 5
New York
Fully refundable
Reserve now, pay later
8.2
8.2 out of 10
Very good
very good
3,071 reviews
(3,071 reviews)
The previous price was €147
€147
The current price is €126
€126
for 1 room
includes taxes & fees
Sign in for extra savings
More information about Truss Hotel Times Square , opens in a new tab"
2026-02-03,2026-02-04,2026-02-05,1,1,21,Chelsea Savoy Hotel,$169,8.6,"2,420",2,Chelsea,"Chelsea Savoy Hotel
Property class 2 out of 5
Chelsea
Breakfast included
Fully refundable
Reserve now, pay later
8.6
8.6 out of 10
Excellent
excellent
2,420 reviews
(2,420 reviews)
15% off
The previous price was €153
€153
The current price is €131
€131
for 1 room
includes taxes & fees",Fully refundable,,,"Chelsea Savoy Hotel
Property class 2 out of 5
Chelsea
Breakfast included
Fully refundable
Reserve now, pay later
8.6
8.6 out of 10
Excellent
excellent
2,420 reviews
(2,420 reviews)
15% off
The previous price was €153
€153
The current price is €131
€131
for 1 room
includes taxes & fees
More information about Chelsea Savoy Hotel, opens in a new tab"
2026-02-03,2026-02-04,2026-02-05,1,1,22,Hotel Scherman,$188,9.8,"1,005",4,New York,"Hotel Scherman
Property class 4 out of 5
New York
Breakfast included
9.8
9.8 out of 10
Exceptional
exceptional
1,005 reviews
(1,005 reviews)
The current price is €170
€170
for 1 room
includes taxes & fees",,,,"Hotel Scherman
Property class 4 out of 5
New York
Breakfast included
9.8
9.8 out of 10
Exceptional
exceptional
1,005 reviews
(1,005 reviews)
The current price is €170
€170
for 1 room
includes taxes & fees
More information about Hotel Scherman, opens in a new tab"
2026-02-03,2026-02-04,2026-02-05,1,1,23,Pod Times Square,$129,9.0,"5,233",3,New York,"Pod Times Square
Property class 3 out of 5
New York
9.0
9.0 out of 10
Wonderful
wonderful
5,233 reviews
(5,233 reviews)
The current price is €117
€117
for 1 room
includes taxes & fees",,,,"Pod Times Square
Property class 3 out of 5
New York
9.0
9.0 out of 10
Wonderful
wonderful
5,233 reviews
(5,233 reviews)
The current price is €117
€117
for 1 room
includes taxes & fees
More information about Pod Times Square, opens in a new tab"
2026-02-03,2026-02-04,2026-02-05,1,1,24,Four Points by Sheraton Midtown-Times Square,$141,9.0,"1,746",3,New York,"Four Points by Sheraton Midtown-Times Square
Property class 3 out of 5
New York
9.0
9.0 out of 10
Wonderful
wonderful
1,746 reviews
(1,746 reviews)
The current price is €128
€128
for 1 room
includes taxes & fees",,,,"Four Points by Sheraton Midtown-Times Square
Property class 3 out of 5
New York
9.0
9.0 out of 10
Wonderful
wonderful
1,746 reviews
(1,746 reviews)
The current price is €128
€128
for 1 room
includes taxes & fees
More information about Four Points by Sheraton Midtown-Times Square, opens in a new tab"
2026-02-03,2026-02-04,2026-02-05,1,1,25,DoubleTree by Hilton New York Times Square West,$119,7.6,"3,636",4,New York,"DoubleTree by Hilton New York Times Square West
Property class 4 out of 5
New York
Fully refundable
Reserve now, pay later
7.6
7.6 out of 10
Good
good
3,636 reviews
(3,636 reviews)
The current price is €108
€108
for 1 room
includes taxes & fees
Sign in for extra savings",Fully refundable,,,"DoubleTree by Hilton New York Times Square West
Property class 4 out of 5
New York
Fully refundable
Reserve now, pay later
7.6
7.6 out of 10
Good
good
3,636 reviews
(3,636 reviews)
The current price is €108
€108
for 1 room
includes taxes & fees
Sign in for extra savings
More information about DoubleTree by Hilton New York Times Square West, opens in a new tab"
2026-02-03,2026-02-04,2026-02-05,1,1,26,Hampton Inn Manhattan/Times Square Central,$173,9.2,"2,515",5,Theater District,"Hampton Inn Manhattan/Times Square Central
Property class 3.5 out of 5
Theater District
Breakfast included
9.2
9.2 out of 10
Wonderful
wonderful
2,515 reviews
(2,515 reviews)
The current price is €157
€157
for 1 room
includes taxes & fees",,,,"Hampton Inn Manhattan/Times Square Central
Property class 3.5 out of 5
Theater District
Breakfast included
9.2
9.2 out of 10
Wonderful
wonderful
2,515 reviews
(2,515 reviews)
The current price is €157
€157
for 1 room
includes taxes & fees
More information about Hampton Inn Manhattan/Times Square Central, opens in a new tab"
2026-02-03,2026-02-04,2026-02-05,1,1,27,Holiday Inn NYC - Lower East Side by IHG,$141,8.6,"1,006",4,New York,"Holiday Inn NYC - Lower East Side by IHG
Property class 4 out of 5
New York
Fully refundable
Reserve now, pay later
8.6
8.6 out of 10
Excellent
excellent
1,006 reviews
(1,006 reviews)
15% off
The previous price was €128
€128
The current price is €109
€109
for 1 room
includes taxes & fees",Fully refundable,,,"Holiday Inn NYC - Lower East Side by IHG
Property class 4 out of 5
New York
Fully refundable
Reserve now, pay later
8.6
8.6 out of 10
Excellent
excellent
1,006 reviews
(1,006 reviews)
15% off
The previous price was €128
€128
The current price is €109
€109
for 1 room
includes taxes & fees
More information about Holiday Inn NYC - Lower East Side by IHG, opens in a new tab"
2026-02-03,2026-02-04,2026-02-05,1,1,28,"JG Time Hotel by JGSTAY, Times Square",$119,8.0,302,2,New York,"Private host
JG Time Hotel by JGSTAY, Times Square
Property class 2 out of 5
New York
8.0
8.0 out of 10
Very good
very good
302 reviews
(302 reviews)
The current price is €108
€108
for 1 room
includes taxes & fees
Sign in for extra savings",,,,"Private host
JG Time Hotel by JGSTAY, Times Square
Property class 2 out of 5
New York
8.0
8.0 out of 10
Very good
very good
302 reviews
(302 reviews)
The current price is €108
€108
for 1 room
includes taxes & fees
Sign in for extra savings
More information about JG Time Hotel by JGSTAY, Times Square, opens in a new tab"
2026-02-03,2026-02-04,2026-02-05,1,1,29,The Ridge Hotel,$116,8.2,"1,011",3,New York,"The Ridge Hotel
Property class 3 out of 5
New York
8.2
8.2 out of 10
Very good
very good
1,011 reviews
(1,011 reviews)
11% off
The previous price was €105
€105
The current price is €94
€94
for 1 room
includes taxes & fees",,,,"The Ridge Hotel
Property class 3 out of 5
New York
8.2
8.2 out of 10
Very good
very good
1,011 reviews
(1,011 reviews)
11% off
The previous price was €105
€105
The current price is €94
€94
for 1 room
includes taxes & fees
More information about The Ridge Hotel, opens in a new tab"
2026-02-03,2026-02-04,2026-02-05,1,1,30,Faena New York,$1042,10,21,5,Chelsea,"Faena New York
Property class 5 out of 5
Chelsea
The New Crown Jewel of Chelsea
NYC's newest hotel offering a touch of magic. Indulge in Francis Mallmann's cuisine & Faena signature nightlife in the Living Room
10
10 out of 10
Exceptional
exceptional
21 reviews
(21 reviews)
The current price is €947
€947
for 1 room
includes taxes & fees",,The New Crown Jewel of Chelsea,,"Faena New York
Property class 5 out of 5
Chelsea
The New Crown Jewel of Chelsea
NYC's newest hotel offering a touch of magic. Indulge in Francis Mallmann's cuisine & Faena signature nightlife in the Living Room
10
10 out of 10
Exceptional
exceptional
21 reviews
(21 reviews)
The current price is €947
€947
for 1 room
includes taxes & fees
Opens Faena New York in new tab"
2026-02-03,2026-02-04,2026-02-05,1,1,31,voco Astoria by IHG,$173,9.6,56,5,Queens,"voco Astoria by IHG
Property class 3.5 out of 5
Queens
Why hello there. Come on in.
Sleep, eat, and everything inbetween. Experience charming touches that make a world of difference, to make you feel right at home.
Fully refundable
Reserve now, pay later
9.6
9.6 out of 10
Exceptional
exceptional
56 reviews
(56 reviews)
7% off
The previous price was €157
€157
The current price is €146
€146
for 1 room
includes taxes & fees",Fully refundable,Why hello there. Come on in.,,"voco Astoria by IHG
Property class 3.5 out of 5
Queens
Why hello there. Come on in.
Sleep, eat, and everything inbetween. Experience charming touches that make a world of difference, to make you feel right at home.
Fully refundable
Reserve now, pay later
9.6
9.6 out of 10
Exceptional
exceptional
56 reviews
(56 reviews)
7% off
The previous price was €157
€157
The current price is €146
€146
for 1 room
includes taxes & fees
Opens voco Astoria by IHG in new tab"
2026-02-03,2026-02-04,2026-02-05,1,1,32,Park Central Hotel New York,$173,7.6,"3,864",4,New York,"Park Central Hotel New York
Property class 4 out of 5
New York
Fully refundable
Reserve now, pay later
7.6
7.6 out of 10
Good
good
3,864 reviews
(3,864 reviews)
15% off
The previous price was €157
€157
The current price is €134
€134
for 1 room
includes taxes & fees",Fully refundable,,,"Park Central Hotel New York
Property class 4 out of 5
New York
Fully refundable
Reserve now, pay later
7.6
7.6 out of 10
Good
good
3,864 reviews
(3,864 reviews)
15% off
The previous price was €157
€157
The current price is €134
€134
for 1 room
includes taxes & fees
More information about Park Central Hotel New York, opens in a new tab"
2026-02-03,2026-02-04,2026-02-05,1,1,33,Motto By Hilton New York City Times Square,$162,8.8,"3,337",4,Theater District,"Motto By Hilton New York City Times Square
Property class 4 out of 5
Theater District
8.8
8.8 out of 10
Excellent
excellent
3,337 reviews
(3,337 reviews)
The previous price was €147
€147
The current price is €136
€136
for 1 room
includes taxes & fees
Sign in for extra savings",,,,"Motto By Hilton New York City Times Square
Property class 4 out of 5
Theater District
8.8
8.8 out of 10
Excellent
excellent
3,337 reviews
(3,337 reviews)
The previous price was €147
€147
The current price is €136
€136
for 1 room
includes taxes & fees
Sign in for extra savings
More information about Motto By Hilton New York City Times Square, opens in a new tab"
2026-02-03,2026-02-04,2026-02-05,1,1,34,The Belvedere Hotel,$164,8.4,"4,041",5,New York,"The Belvedere Hotel
Property class 3.5 out of 5
New York
8.4
8.4 out of 10
Very good
very good
4,041 reviews
(4,041 reviews)
13% off
The previous price was €149
€149
The current price is €130
€130
for 1 room
includes taxes & fees",,,,"The Belvedere Hotel
Property class 3.5 out of 5
New York
8.4
8.4 out of 10
Very good
very good
4,041 reviews
(4,041 reviews)
13% off
The previous price was €149
€149
The current price is €130
€130
for 1 room
includes taxes & fees
More information about The Belvedere Hotel, opens in a new tab"
2026-02-03,2026-02-04,2026-02-05,1,1,35,La Quinta Inn & Suites by Wyndham Times Square South,$151,9.0,"1,003",3,New York,"La Quinta Inn & Suites by Wyndham Times Square South
Property class 3 out of 5
New York
Breakfast included
Fully refundable
Reserve now, pay later
9.0
9.0 out of 10
Wonderful
wonderful
1,003 reviews
(1,003 reviews)
8% off
The previous price was €137
€137
The current price is €125
€125
for 1 room
includes taxes & fees",Fully refundable,,,"La Quinta Inn & Suites by Wyndham Times Square South
Property class 3 out of 5
New York
Breakfast included
Fully refundable
Reserve now, pay later
9.0
9.0 out of 10
Wonderful
wonderful
1,003 reviews
(1,003 reviews)
8% off
The previous price was €137
€137
The current price is €125
€125
for 1 room
includes taxes & fees
More information about La Quinta Inn & Suites by Wyndham Times Square South, opens in a new tab"
2026-02-03,2026-02-04,2026-02-05,1,1,36,"Club Quarters, Times Square - Midtown",$200,8.8,"2,973",4,Central New York City,"Club Quarters, Times Square - Midtown
Property class 4 out of 5
Central New York City
Fully refundable
Reserve now, pay later
8.8
8.8 out of 10
Excellent
excellent
2,973 reviews
(2,973 reviews)
The previous price was €181
€181
The current price is €158
€158
for 1 room
includes taxes & fees
Sign in for extra savings",Fully refundable,,,"Club Quarters, Times Square - Midtown
Property class 4 out of 5
Central New York City
Fully refundable
Reserve now, pay later
8.8
8.8 out of 10
Excellent
excellent
2,973 reviews
(2,973 reviews)
The previous price was €181
€181
The current price is €158
€158
for 1 room
includes taxes & fees
Sign in for extra savings
More information about Club Quarters, Times Square - Midtown, opens in a new tab"
2026-02-03,2026-02-04,2026-02-05,1,1,37,Hotel Edison Times Square,$184,8.4,"5,117",4,Theater District,"Hotel Edison Times Square
Property class 4 out of 5
Theater District
Fully refundable
Reserve now, pay later
8.4
8.4 out of 10
Very good
very good
5,117 reviews
(5,117 reviews)
The previous price was €167
€167
The current price is €148
€148
for 1 room
includes taxes & fees
Sign in for extra savings",Fully refundable,,,"Hotel Edison Times Square
Property class 4 out of 5
Theater District
Fully refundable
Reserve now, pay later
8.4
8.4 out of 10
Very good
very good
5,117 reviews
(5,117 reviews)
The previous price was €167
€167
The current price is €148
€148
for 1 room
includes taxes & fees
Sign in for extra savings
More information about Hotel Edison Times Square, opens in a new tab"
2026-02-03,2026-02-04,2026-02-05,1,1,38,Chelsea Inn,$122,8.2,"1,982",3,New York,"Chelsea Inn
Property class 3 out of 5
New York
8.2
8.2 out of 10
Very good
very good
1,982 reviews
(1,982 reviews)
8% off
The previous price was €110
€110
The current price is €101
€101
for 1 room
includes taxes & fees",,,,"Chelsea Inn
Property class 3 out of 5
New York
8.2
8.2 out of 10
Very good
very good
1,982 reviews
(1,982 reviews)
8% off
The previous price was €110
€110
The current price is €101
€101
for 1 room
includes taxes & fees
More information about Chelsea Inn, opens in a new tab"
